team,targeted_productivity,smv,wip,over_time,incentive,no_of_style_change,no_of_workers,actual_productivity,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday
8,0.9999999999999999,0.4502516453735965,0.4106745737583395,0.4682539682539683,0.8235294117647058,0.0,0.6551724137931034,0.7973321464253332,True,False,False,False,False,False,False,False,True,False,False
1,0.9315068493150683,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0.06896551724137931,0.7361801607832763,True,False,False,False,False,False,False,False,True,False,False
11,0.9999999999999999,0.16473093302361594,0.3587842846553002,0.2420634920634921,0.42016806722689076,0.0,0.3275862068965517,0.6392743248889362,True,False,False,False,False,False,False,False,True,False,False
12,0.9999999999999999,0.16473093302361594,0.3587842846553002,0.2420634920634921,0.42016806722689076,0.0,0.3275862068965517,0.6392743248889362,True,False,False,False,False,False,False,False,True,False,False
6,0.9999999999999999,0.44521873790166466,0.4336545589325426,0.126984126984127,0.42016806722689076,0.0,0.6206896551724138,0.6390616924420449,True,False,False,False,False,False,False,False,True,False,False
7,0.9999999999999999,0.44521873790166466,0.3647146034099333,0.4444444444444445,0.31932773109243695,0.0,0.6206896551724138,0.638771927334836,True,False,False,False,False,False,False,False,True,False,False
2,0.9315068493150683,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0.06896551724137931,0.5880707777392734,True,False,False,False,False,False,False,False,True,False,False
3,0.9315068493150683,0.4874177313201702,0.29466271312083026,0.4563492063492064,0.37815126050420167,0.0,0.6379310344827587,0.5863981314832948,True,False,False,False,False,False,False,False,True,False,False
2,0.9315068493150683,0.32849399922570655,0.2716827279466271,0.39682539682539686,0.2857142857142857,0.0,0.6091954022988506,0.5857373377100453,True,False,False,False,False,False,False,False,True,False,False
1,0.9315068493150683,0.4874177313201702,0.2524091919940697,0.4563492063492064,0.37815126050420167,0.0,0.6379310344827587,0.5827266141456058,True,False,False,False,False,False,False,False,True,False,False
9,0.8630136986301368,0.4874177313201702,0.32320237212750186,0.4563492063492064,0.36974789915966383,0.0,0.6379310344827587,0.5496829569786689,True,False,False,False,False,False,False,False,True,False,False
10,0.9315068493150683,0.3176538908246225,0.21423276501111935,0.4285714285714286,0.37815126050420167,0.0,0.5977011494252874,0.5396216196653342,True,False,False,False,False,False,False,False,True,False,False
5,0.9999999999999999,0.16473093302361594,0.2475908080059303,0.2420634920634921,0.42016806722689076,0.0,0.3275862068965517,0.5338032383952787,True,False,False,False,False,False,False,False,True,False,False
10,0.7945205479452054,0.020131629887727445,0.0,0.0634920634920635,0.0,0.0,0.06896551724137931,0.5325297589568052,True,False,False,False,False,False,False,False,True,False,False
8,0.9315068493150683,0.0,0.0,0.0634920634920635,0.0,0.0,0.06896551724137931,0.4995434686139181,True,False,False,False,False,False,False,False,True,False,False
4,0.9315068493150683,0.020131629887727445,0.0,0.14285714285714288,0.0,0.0,0.1839080459770115,0.405252173457085,True,False,False,False,False,False,False,False,True,False,False
7,0.9999999999999999,0.0,0.0,0.0634920634920635,0.0,0.0,0.06896551724137931,0.34624179875114103,True,False,False,False,False,False,False,False,True,False,False
